# PcbXY Version 1.0
# Date: Tue 25 Aug 2015 10:33:09 PM GMT UTC
# Author: Doug Coffland
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mil.  rotation in degrees.
# --------------------------------------------
MM1/IO1/CLOCK/OSC1,"CB3_OSC.fp","16MHz",193.00,6713.64,0,top
MM1/MD3/U3,"LQFP44_10","unknown",2177.00,6644.64,0,top
MM1/MD3/J1,"Molex 39-03-0040.fp","unknown",2907.60,6643.04,270,top
MM1/IO1/C6,"0603.fp","0.1uF",1497.41,5935.64,0,top
MM1/IO1/C7,"0603.fp","0.1uF",1772.00,5943.23,270,top
MM1/MD2/C7,"0402.fp","470nF",1810.26,5444.64,0,top
MM1/MD2/C12,"0603.fp","100nF",1845.97,5983.21,0,top
MM1/MD2/C11,"0603.fp","100nF",2346.00,6109.05,90,top
MM1/MD2/R3,"0402.fp","22",1945.00,5553.90,90,top
MM1/IO1/U1,"QSOP16.fp","unknown",1656.09,5268.08,0,top
MM1/MD2/C16,"0402.fp","10nF",1843.64,5482.80,180,top
MM1/MD2/R5,"1206.fp",".075",1870.00,5603.59,90,top
MM1/MD2/C15,"0402.fp","10nF",2359.00,5480.90,90,top
MM1/MD2/R2,"0402.fp","22",2407.40,5543.84,90,top
MM1/MD2/R4,"1206.fp",".075",2498.67,5591.00,270,top
MM1/IO1/U2,"QSOP16.fp","unknown",1649.00,5762.64,0,top
MM1/MD2/J1,"Molex 39-03-0040.fp","unknown",2907.16,5789.79,270,top
MM1/MD2/U3,"LQFP44_10","unknown",2177.81,5788.92,0,top
MM1/IO1/C5,"0603.fp","0.1uF",1370.08,5322.69,270,top
MM1/IO1/C4,"0603.fp","0.1uF",1933.39,5425.37,0,top
MM1/MD1/C9,"0603.fp","100nF",1985.57,4428.32,180,top
MM1/MD1/C7,"0402.fp","470nF",2114.17,5332.54,180,top
MM1/MD1/C12,"0603.fp","100nF",1846.46,5019.54,270,top
MM1/MD1/C11,"0603.fp","100nF",2311.02,5204.58,90,top
MM1/MD1/C16,"0402.fp","10nF",1970.78,4594.09,270,top
MM1/MD1/R3,"0402.fp","22",1921.85,4656.83,90,top
MM1/MD1/R2,"0402.fp","22",2393.71,4659.31,0,top
MM1/MD1/C15,"0402.fp","10nF",2374.02,4568.76,90,top
MM1/MD1/R4,"1206.fp",".075",2515.75,4706.55,270,top
MM1/IO1/U6,"QSOP16.fp","unknown",1645.97,4648.88,0,top
MM1/MD1/R5,"1206.fp",".075",1669.29,4966.39,270,top
PS1/C101,"0603.fp","0.1uF",1681.10,2326.63,270,top
MM1/MD1/U3,"LQFP44_10","unknown",2155.59,4882.14,0,top
PS1/C5,"NICHICON_WT_CAP_4_5p4.fp","10uF",1145.67,6627.81,0,top
PS1/C1,"NICHICON_WT_CAP_8_10.fp","220uF",779.13,7833.09,0,top
PS1/C2,"NICHICON_WT_CAP_8_10.fp","220uF",799.22,7147.50,0,top
PS1/J2,"Molex_39-29-1027.fp","unknown",524.92,7491.04,90,top
MM1/IO1/CLOCK/CD1,"ICS551.fp","unknown",606.10,6726.10,90,top
MM1/IO1/CLOCK/CD2,"ICS551.fp","unknown",877.95,6718.36,270,top
MP1/ISP,"HEADER6_1","unknown",3220.00,2433.64,0,top
IO1/io2,"HEADER40_1","unknown",2250.00,4083.64,90,top
IO1/io1,"HEADER40_1","unknown",2250.00,2883.64,90,top
PS1/U102,"SOT223","unknown",1867.00,2393.39,0,top
PS1/C4,"NICHICON_WT_CAP_4_5p4.fp","10uF",1380.00,2413.64,270,top
MP1/C1,"0603","0.1uF",1774.41,933.64,180,bottom
MP1/X1,"Crystal_HC49.fp","16MHz",2110.00,1263.64,270,bottom
MP1/C2,"0603","22pF",2094.41,1643.64,180,bottom
MP1/C3,"0603","22pF",2080.00,883.64,180,bottom
MP1/U1,"TQFP64_14","ATXmegaA3",1390.00,1263.64,90,bottom
PS1/R1,"RESC3225M.fp","0?",947.01,4503.64,0,top
PS1/R2,"RESC3225M.fp","0?",947.01,4293.64,0,top
RP1/J2,"HEADER26_1","unknown",110.00,1143.64,180,bottom
PS1/J1,"Molex_39-30-3036.fp","unknown",445.20,4393.64,90,top
PS1/U100,"IRM-10-5.fp","unknown",344.50,3215.64,0,top
MM1/MD1/J1,"Molex 39-03-0040.fp","unknown",2930.60,4891.04,270,top
MM1/MD5/C11,"0603.fp","100nF",2376.11,8685.43,0,top
